source,destination,gooseid,time,stNum,sqNum,gooseboolean,goosebitstring,label
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:18:07.021625697 UTC",2100,102,0,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:18:07.021625697 UTC",2100,103,0,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:18:07.021625697 UTC",2100,104,0,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:18:07.021625697 UTC",2100,105,0,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:18:07.021625697 UTC",2100,106,0,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:18:07.021625697 UTC",2100,107,0,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:21:27.438074052 UTC",2101,0,1,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:21:27.438074052 UTC",2101,1,1,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:21:27.438074052 UTC",2101,2,1,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:21:27.438074052 UTC",2101,3,1,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:21:27.438074052 UTC",2101,4,1,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:21:27.438074052 UTC",2101,5,1,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:21:27.438074052 UTC",2101,6,1,0,0
b4:b1:5a:0a:b4:ef,01:0c:cd:01:00:09,SIP/VI3p1_27Undervoltage1/LLN0/Control_DataSet,"Jun 16, 2022 21:21:27.982074081 UTC",2102,0,0,0,0
